id,0,1,2
0,0,101.036,67.165
1,0,98.117,70.589
2,0,97.34,67.974
3,0,100.767,68.968
4,0,98.39,65.131
5,0,101.144,65.778
6,0,99.927,64.505
7,0,98.031,68.754
8,0,100.98,67.445
9,0,102.315,64.115
10,0,101.431,68.339
11,0,98.633,65.626
12,0,102.167,65.175
13,0,99.896,65.548
14,0,99.536,69.597
15,0,99.797,65.421
16,0,100.946,65.285
17,0,100.643,65.657
18,0,100.465,67.076
19,0,99.227,67.308
20,0,102.387,68.382
21,0,98.811,66.523
22,0,99.029,62.938
23,0,97.737,68.985
24,0,101.529,65.983
25,0,99.659,67.959
26,0,100.105,66.62
27,0,100.786,66.537
28,0,101.49,67.042
29,0,99.408,68.283
30,0,102.174,68.527
31,0,99.327,68.049
32,0,101.441,64.478
33,0,97.893,69.784
34,0,101.216,66.955
35,0,99.685,65.803
36,0,102.097,68.465
37,0,99.209,63.759
38,0,100.717,66.619
39,0,99.918,65.776
40,0,99.597,67.934
41,0,100.349,67.751
42,0,100.736,65.263
43,0,99.706,69.005
44,0,98.626,67.478
45,0,98.869,66.838
46,0,101.017,67.659
47,0,103.97,67.257
48,0,101.473,67.358
49,0,101.9,66.777
50,0,97.118,67.808
51,0,99.203,66.522
52,0,98.061,67.306
53,0,100.165,66.971
54,0,100.141,66.42
55,0,102.45,66.706
56,0,99.623,66.829
57,0,101.116,68.893
58,0,102.641,66.796
59,0,97.657,65.642
60,0,102.037,66.074
61,0,99.209,67.236
62,0,99.418,69.249
63,0,98.425,66.837
64,0,99.697,65.973
65,0,103.536,63.704
66,0,102.902,70.161
67,0,100.869,65.161
68,0,102.013,67.406
69,0,99.984,68.006
70,0,99.325,66.843
71,0,98.816,68.212
72,0,100.193,64.277
73,0,100.281,67.814
74,0,101.827,66.619
75,0,99.797,66.886
76,0,100.709,64.747
77,0,99.599,66.022
78,0,101.567,65.92
79,0,97.918,68.305
80,0,100.719,67.722
81,0,99.569,66.295
82,0,99.623,67.071
83,0,99.529,66.403
84,0,99.849,65.798
85,0,99.709,64.791
86,0,98.049,69.708
87,0,101.615,66.931
88,0,101.083,68.104
89,0,100.096,67.319
90,0,97.763,67.436
91,0,100.656,66.621
92,0,98.882,66.647
93,0,99.09,65.977
94,0,99.671,64.862
95,0,99.049,64.613
96,0,99.403,68.031
97,0,101.35,67.738
98,0,99.65,68.984
99,0,102.287,66.307
100,0,99.114,68.923
101,0,102.377,64.47
102,0,100.433,65.598
103,0,99.536,69.404
104,0,102.726,67.645
105,0,100.343,66.744
106,0,98.293,64.582
107,0,99.984,67.259
108,0,101.395,67.011
109,0,99.968,67.549
110,0,99.944,65.16
111,0,103.409,70.332
112,0,101.42,65.02
113,0,97.828,65.929
114,0,99.109,66.081
115,0,101.524,66.906
116,0,100.402,66.554
117,0,98.181,66.658
118,0,101.259,67.854
119,0,96.894,69.179
120,0,100.805,65.085
121,0,101.184,68.927
122,0,98.173,68.962
123,0,101.769,66.166
124,0,98.647,67.191
125,0,97.804,66.588
126,0,99.27,63.426
127,0,100.866,66.025
128,0,101.863,66.39
129,0,102.583,67.147
130,0,98.272,67.379
131,0,98.654,67.617
132,0,98.876,67.889
133,0,101.556,66.136
134,0,101.068,64.309
135,0,100.371,66.099
136,0,102.285,65.743
137,0,100.549,67.58
138,0,98.279,67.722
139,0,99.605,68.693
140,0,99.599,68.114
141,0,98.523,64.645
142,0,100.281,65.874
143,0,101.05,66.091
144,0,102.185,68.038
145,0,97.529,68.171
146,0,99.789,64.949
147,0,97.823,64.135
148,0,100.849,66.933
149,0,98.182,66.775
150,0,102.224,67.595
